
============================================================
#4
============================================================
  s= 22 | 이론적으로 존재하는 가장 낮은 온도는 이며 이를 절대 온도 라고 한다. 실제로 까지 물체의 온도를 낮출 수는 없지만 그에 근접한 온도를 얻을 수는 있다. 그러한 방법 중 하나가 ‘레이저 냉각’이다.
  s= 22 | 레이저 냉각을 이해하기 위해 우선 온도라는 것이 무엇인지 알아보자. 미시적으로 물질을 들여다보면 많은 수의 원자가 모인 집단에서 원자들은 끊임없이 서로 충돌하며 다양한 속도로 운동한다. 이때 절대 온도는 원자들의 평균 운동 속도의 제곱에 비례하는 양으로 정의된다. 따라서 어떤 원자의 집단에서 원자들의 평균 운동 속도를 감소시키면 그 원자 집단의 온도가 내려
  s= 90 | 그렇다면 레이저를 이용하여 어떻게 원자의 운동 속도를 감소시킬 수 있을까? 날아오는 농구공에 정면으로 야구공을 던져서 부딪히게 하면 농구공의 속도가 느려진다. 마찬가지로 빠르게 움직이는 원자에 레이저 빛을 쏘아 충돌시키면 원자의 속도가 줄어들 수 있다. 이때 속도와 질량의 곱에 해당하는 운동량도 작아진다. 빛은 전자기파라는 파동이면서 동시에 광자라는 입자이
  s= 22 | 사이렌과 관측자가 가까워질 때에는 사이렌 소리가 원래의 소리보다 더 높은 음으로 들리고, 사이렌과 관측자가 멀어질 때에는 더 낮은 음으로 들린다. 이처럼 빛이나 소리와 같은 파동을 발생시키는 파동원과 관측자가 멀어질 때는 파동의 진동수가 더 작게 감지되고, 파동원과 관측자가 가까워질 때는 파동의 진동수가 더 크게 감지되는 현상을 도플러 효과라고 한다. 이때
  s= 22 | 한편 정지해 있는 특정한 원자는 모든 진동수의 빛을 흡수하는 것이 아니고 고유한 진동수, 즉 공명 진동수의 빛만을 흡수한다. 이것은 원자가 광자를 흡수할 때 원자 내부의 전자가 특정 에너지 준위 에서 그보다 더 높은 특정 에너지 준위 로 옮겨가는 것만 허용되기 때문이다. 이때 흡수된 광자의 에너지는 두 에너지 준위의 에너지 값의 차이 에 해당한다.
  s= 92 | <그림>
  s= 22 | 그러면 어떻게 도플러 효과를 이용하여 레이저 냉각을 수행하는지 알아보자. 우선 어떤 원자의 집단을 사이에 두고 양쪽에서 레이저 빛을 원자에 쏘되 그 진동수를 원자의 공명 진동수보다 작게 한다. 원자가 한쪽 레이저 빛의 방향과 반대 방향으로 움직이면 도플러 효과에 의해 원자에서 감지되는 레이저 빛의 진동수가 커지는데, 그 값이 자신의 공명 진동수에 해당하는 
  s=100 | 윗글의 내용과 일치하는 것은?
  s= 21 | ①
  s= 21 | ②레이저 냉각은 광자를 선택적으로 흡수하는 원자의 성질을 이용한다.
  s= 21 | ③레이저 냉각은 원자와 레이저 빛을 충돌시켜 광자를 냉각시키는 것이다.
  s= 21 | ④에 도달하게 할 수 있다.
  s= 21 | ⑤개별 원자의 운동 상태를 파악하여 각각의 원자마다 적절한 진동수의 레이저 빛을 쏠 수 있다.
  s=100 | 2.  윗글의 <그림>을 이해한 것으로 적절하지 않은 것은?
  s= 21 | ①에서 로 이동한다.
  s= 21 | ②의 에너지를 갖는다.
  s= 21 | ③로 일정하다.
  s= 21 | ④와 일치한다.
  s= 21 | ⑤에서 로 전자가 이동할 때 광자가 방출된다.
